iter	Passed	Remaining
0	1	1921
1	4	2094
2	5	1941
3	7	1851
4	8	1766
5	10	1704
6	11	1673
7	13	1640
8	14	1604
9	15	1573
10	17	1590
11	19	1600
12	21	1599
13	22	1577
14	23	1559
15	25	1542
16	26	1526
17	27	1518
18	29	1507
19	30	1493
20	31	1484
21	33	1495
22	35	1511
23	37	1506
24	38	1497
25	39	1490
26	41	1481
27	42	1474
28	43	1472
29	45	1465
30	46	1458
31	47	1451
32	49	1454
33	51	1456
34	52	1457
35	54	1450
36	55	1444
37	56	1438
38	58	1432
39	59	1434
40	61	1436
41	62	1432
42	64	1430
43	65	1430
44	67	1436
45	69	1433
46	70	1429
47	71	1424
48	73	1419
49	74	1416
50	75	1412
51	77	1407
52	78	1402
53	79	1398
54	81	1401
55	83	1402
56	84	1403
57	86	1401
58	87	1400
59	89	1397
60	90	1393
61	91	1388
62	93	1384
63	94	1380
64	95	1377
65	97	1377
66	99	1380
67	101	1385
68	102	1383
69	103	1380
70	105	1378
71	106	1374
72	107	1371
73	109	1368
74	110	1364
75	111	1361
76	113	1362
77	115	1365
78	116	1363
79	118	1360
80	119	1357
81	121	1355
82	122	1352
83	123	1349
84	125	1346
85	126	1343
86	127	1340
87	129	1341
88	131	1343
89	132	1341
90	133	1338
91	135	1336
92	136	1334
93	138	1332
94	139	1329
95	140	1327
96	142	1324
97	143	1322
98	145	1321
99	146	1322
100	148	1321
101	149	1318
102	151	1316
103	152	1313
104	153	1311
105	155	1308
106	156	1305
107	157	1302
108	159	1300
109	160	1298
110	162	1297
111	163	1298
112	165	1296
113	166	1294
114	167	1291
115	169	1289
116	170	1286
117	171	1283
118	173	1281
119	174	1278
120	175	1276
121	177	1274
122	178	1274
123	180	1274
124	181	1272
125	183	1270
126	184	1267
127	185	1264
128	186	1262
129	188	1260
130	189	1257
131	190	1255
132	192	1253
133	193	1253
134	195	1253
135	197	1254
136	198	1252
137	200	1250
138	201	1248
139	202	1246
140	204	1244
141	205	1242
142	206	1240
143	208	1239
144	210	1239
145	212	1240
146	213	1237
147	214	1236
148	216	1234
149	217	1232
150	218	1229
151	220	1227
152	221	1225
153	222	1223
154	224	1221
155	225	1221
156	227	1222
157	229	1220
158	230	1218
159	231	1216
160	232	1214
161	234	1212
162	235	1210
163	236	1207
164	238	1205
165	239	1203
166	241	1202
167	242	1202
168	244	1202
169	245	1200
170	247	1198
171	248	1195
172	249	1193
173	251	1191
174	252	1189
175	253	1187
176	255	1185
177	256	1184
178	258	1183
179	259	1182
180	260	1180
181	262	1179
182	263	1177
183	265	1175
184	266	1173
185	267	1171
186	269	1169
187	270	1168
188	271	1166
189	273	1166
190	275	1165
191	277	1165
192	278	1165
193	280	1163
194	281	1161
195	282	1159
196	284	1157
197	285	1156
198	286	1154
199	288	1153
200	290	1153
201	291	1152
202	293	1152
203	294	1150
204	296	1148
205	297	1146
206	298	1144
207	300	1143
208	301	1141
209	302	1139
210	304	1138
211	305	1137
212	307	1137
213	309	1135
214	310	1133
215	311	1131
216	313	1129
217	314	1127
218	315	1126
219	317	1124
220	318	1122
221	319	1120
222	321	1120
223	323	1120
224	324	1118
225	326	1116
226	327	1115
227	328	1113
228	330	1111
229	331	1109
230	332	1107
231	334	1105
232	335	1103
233	337	1103
234	338	1102
235	340	1101
236	341	1100
237	343	1098
238	344	1096
239	345	1094
240	346	1092
241	348	1091
242	349	1089
243	350	1087
244	352	1086
245	354	1085
246	355	1084
247	357	1082
248	358	1080
249	359	1079
250	360	1077
251	362	1075
252	363	1073
253	365	1072
254	366	1070
255	367	1069
256	369	1068
257	371	1067
258	372	1066
259	373	1064
260	375	1062
261	376	1061
262	378	1059
263	379	1057
264	380	1056
265	382	1054
266	383	1053
267	385	1052
268	387	1051
269	388	1050
270	389	1048
271	391	1046
272	392	1045
273	394	1044
274	395	1042
275	396	1040
276	398	1039
277	399	1037
278	401	1036
279	402	1036
280	404	1035
281	406	1035
282	407	1033
283	409	1031
284	410	1029
285	411	1028
286	413	1026
287	414	1024
288	415	1023
289	417	1022
290	419	1021
291	420	1020
292	422	1018
293	423	1016
294	424	1015
295	426	1013
296	427	1011
297	428	1009
298	429	1007
299	431	1006
300	432	1004
301	434	1003
302	436	1003
303	437	1001
304	438	1000
305	440	998
306	441	996
307	442	994
308	444	993
309	445	991
310	446	989
311	448	988
312	449	987
313	451	986
314	452	985
315	454	983
316	455	981
317	456	979
318	458	978
319	459	976
320	460	974
321	462	972
322	463	971
323	465	970
324	466	969
325	468	968
326	469	966
327	470	964
328	472	963
329	473	961
330	474	959
331	476	958
332	477	956
333	478	954
334	480	953
335	482	952
336	483	952
337	485	950
338	486	949
339	488	948
340	490	946
341	491	945
342	492	943
343	494	942
344	495	941
345	497	940
346	499	939
347	501	939
348	502	938
349	504	936
350	506	935
351	507	934
352	509	933
353	510	931
354	512	930
355	514	930
356	515	929
357	517	927
358	518	925
359	519	924
360	521	922
361	522	920
362	523	919
363	525	917
364	526	915
365	527	914
366	530	914
367	531	913
368	532	911
369	534	909
370	535	908
371	536	906
372	538	904
373	539	903
374	540	901
375	542	899
376	543	898
377	545	897
378	547	896
379	548	894
380	549	893
381	551	891
382	552	890
383	553	888
384	555	886
385	556	885
386	557	883
387	559	882
388	561	881
389	562	880
390	564	878
391	565	877
392	566	875
393	568	874
394	569	872
395	570	870
396	572	869
397	573	867
398	575	866
399	576	865
400	578	864
401	579	862
402	581	860
403	582	859
404	583	857
405	585	855
406	586	854
407	587	852
408	589	851
409	590	849
410	591	848
411	593	847
412	595	846
413	597	845
414	598	843
415	599	841
416	601	840
417	602	838
418	603	837
419	605	835
420	606	834
421	608	833
422	609	832
423	611	830
424	612	828
425	614	827
426	615	825
427	616	824
428	617	822
429	619	820
430	620	819
431	621	817
432	623	816
433	624	814
434	626	813
435	627	812
436	629	810
437	630	808
438	631	807
439	633	805
440	634	804
