iter	Logloss
0	0.6889436393
1	0.6839468169
2	0.6790570402
3	0.6742789437
4	0.6696755477
5	0.6658036625
6	0.6609606041
7	0.6571711656
8	0.6528967983
9	0.6489165364
10	0.6446727034
11	0.6401094144
12	0.6364314051
13	0.6323796905
14	0.6288740886
15	0.6260086318
16	0.6225536914
17	0.6186230178
18	0.6153229867
19	0.6115107393
20	0.6080422781
21	0.6034386803
22	0.6001693163
23	0.5964422413
24	0.5924359365
25	0.5892432475
26	0.5854928208
27	0.5821468985
28	0.5791963117
29	0.5760516625
30	0.5732003992
31	0.5696941708
32	0.5672101206
33	0.5640479545
34	0.5608321453
35	0.5574984772
36	0.5546991103
37	0.5523261414
38	0.5496612866
39	0.5467692388
40	0.5435755611
41	0.5406521229
42	0.5390779185
43	0.5365785156
44	0.5341445594
45	0.5309641977
46	0.5279811789
47	0.5251842358
48	0.5221646889
49	0.5194755219
50	0.5170793474
51	0.5141218403
52	0.5123442716
53	0.5095177547
54	0.5065337849
55	0.5043722423
56	0.5026956391
57	0.5003402509
58	0.4986953563
59	0.4961816891
60	0.4937619158
61	0.4913159148
62	0.4893421421
63	0.4868128196
64	0.4850153312
65	0.4832845233
66	0.4814504577
67	0.4788972692
68	0.4771665044
69	0.4753825023
70	0.4728435203
71	0.4707495554
72	0.4685390435
73	0.4660824574
74	0.4641779336
75	0.4619655844
76	0.4597547817
77	0.4581830256
78	0.4563463987
79	0.4540043777
80	0.4515158543
81	0.4499048246
82	0.4483602428
83	0.4467620619
84	0.4446444135
85	0.44260711
86	0.4411464746
87	0.4396957067
88	0.4376135204
89	0.4358665293
90	0.4339475479
91	0.4324167488
92	0.4309557583
93	0.4290812612
94	0.4271873688
95	0.4254201961
96	0.4236268678
97	0.421895967
98	0.4201536081
99	0.4183315717
100	0.416838625
101	0.4155633351
102	0.4140156136
103	0.4126712287
104	0.411065257
105	0.4097953073
106	0.4093541515
107	0.4076869442
108	0.4065346565
109	0.4051417876
110	0.4039290921
111	0.4028687906
112	0.4019013296
113	0.4013270941
114	0.4005105585
115	0.3989450949
116	0.3974791776
117	0.3957086172
