iter	Passed	Remaining
0	1	1144
1	2	1053
2	3	1002
3	3	977
4	4	961
5	5	921
6	6	916
7	7	967
8	9	1032
9	10	1023
10	11	1011
11	12	1001
12	13	991
13	13	982
14	14	972
15	15	966
16	16	959
17	17	952
18	18	947
19	19	943
20	20	939
21	21	936
22	22	934
23	23	942
24	24	959
25	25	958
26	26	956
27	27	952
28	28	948
29	29	944
30	30	941
31	31	938
32	31	935
33	32	932
34	33	930
35	34	926
36	35	924
37	36	923
38	37	920
39	38	924
40	39	933
41	41	940
42	42	942
43	43	940
44	44	938
45	45	935
46	45	932
47	46	929
48	47	926
49	48	925
50	49	929
51	50	928
52	51	926
53	52	924
54	53	924
55	55	931
56	56	941
57	57	939
58	58	937
59	59	935
60	60	933
61	61	930
62	62	927
63	63	925
64	64	923
65	65	920
66	65	918
67	66	916
68	67	915
69	68	913
70	70	916
71	71	922
72	72	921
73	73	919
74	74	917
75	75	915
76	76	913
77	77	911
78	77	909
79	78	906
80	79	904
81	80	902
82	81	900
83	82	898
84	83	896
85	84	895
86	85	896
87	86	898
88	87	900
89	88	898
90	89	896
91	90	894
92	91	892
93	92	890
94	93	889
95	94	887
96	95	885
97	96	883
98	96	882
99	97	881
100	99	881
101	100	882
102	101	883
103	102	884
104	103	885
105	104	883
106	105	878
107	106	876
108	107	875
109	107	873
110	108	872
111	109	870
112	110	868
113	111	865
114	112	862
115	113	861
116	114	862
117	115	863
