iter	RMSE
0	7.556817397
1	7.263041518
2	6.983682947
3	6.786156315
4	6.572348305
5	6.339559434
6	6.12399279
7	5.898758247
8	5.706920322
9	5.505860098
10	5.310965231
11	5.155539587
12	4.997878171
13	4.831125536
14	4.695991951
15	4.551547268
16	4.416202796
17	4.284949934
18	4.165032397
19	4.046121143
20	3.936479467
21	3.837924686
22	3.731075691
23	3.639575872
24	3.552416204
25	3.466721165
26	3.387685062
27	3.321476828
28	3.252163806
29	3.185139196
30	3.126218616
31	3.068594026
32	3.011587633
33	2.961156802
34	2.910342459
35	2.869844479
36	2.822759831
37	2.77955454
38	2.740752611
39	2.703262788
40	2.663112228
41	2.627297423
42	2.58995801
43	2.567368398
44	2.537962727
45	2.506952328
46	2.480549038
47	2.459404797
48	2.439744552
49	2.406814447
50	2.381226069
51	2.355963719
52	2.337182034
53	2.315545106
54	2.291285817
55	2.272955979
56	2.250085062
57	2.228971141
58	2.206442011
59	2.185829048
60	2.173686487
61	2.152570875
62	2.144039387
