iter	RMSE
0	16.05512565
1	15.68421788
2	15.33173852
3	15.0148051
4	14.66515253
5	14.39628118
6	14.09146674
7	13.78885188
8	13.47447193
9	13.2135794
10	12.96361805
11	12.69525769
12	12.45721932
13	12.21776787
14	12.00914887
15	11.78155347
16	11.54770913
17	11.34066281
18	11.1365423
19	10.93574136
20	10.7618967
21	10.57798265
22	10.39538339
23	10.20643869
24	10.02434211
25	9.856997476
26	9.702177221
27	9.5202759
28	9.385879422
29	9.266729769
30	9.132431261
31	8.997919681
32	8.872153402
33	8.745055844
34	8.623521939
35	8.49148889
36	8.38248468
37	8.282496147
38	8.17094683
39	8.051293961
40	7.950786199
41	7.856366428
42	7.763380857
43	7.668122146
44	7.567483838
45	7.467760805
46	7.384188336
47	7.306177387
48	7.230980894
49	7.157063475
50	7.085682714
51	7.009349452
52	6.946065854
53	6.875047316
54	6.814516265
55	6.755127708
56	6.703947406
57	6.641400433
58	6.577743256
59	6.522540896
60	6.471273423
61	6.421261548
62	6.376468918
63	6.317313094
64	6.274548951
65	6.227992554
66	6.19053479
67	6.138195225
68	6.106937851
69	6.063950032
70	6.028154048
71	5.990147157
72	5.943251927
73	5.904661851
74	5.862622433
75	5.82719478
76	5.788180061
77	5.751095783
78	5.72054112
79	5.684766912
80	5.644635203
81	5.606780818
82	5.58422437
83	5.550567197
84	5.520641357
85	5.490292932
86	5.460077294
87	5.43393352
88	5.412739459
89	5.383819145
90	5.356104675
91	5.329507058
92	5.309085478
93	5.284949358
94	5.261763399
95	5.23429406
96	5.208559851
97	5.190063559
98	5.165417167
99	5.145009155
100	5.126111589
101	5.113068997
102	5.085253182
103	5.069553577
104	5.049534714
105	5.030954491
106	5.011434161
107	4.991851362
108	4.974668134
109	4.962572601
110	4.93331686
111	4.919314634
112	4.907337808
113	4.890147026
114	4.865216949
115	4.848365463
116	4.831571536
117	4.81378764
118	4.795973665
119	4.785647186
120	4.766822922
121	4.749372516
122	4.73333646
123	4.720547854
124	4.704034692
125	4.688894531
126	4.670379114
127	4.65528738
128	4.642236284
129	4.623309074
130	4.611454674
131	4.597584449
132	4.589830977
133	4.573912069
134	4.562996639
135	4.552876868
136	4.541223672
137	4.528916283
138	4.518883976
139	4.50813673
140	4.49312685
141	4.482083331
142	4.465485455
143	4.454892683
144	4.443372385
145	4.430288601
146	4.415404135
147	4.405518362
148	4.38915545
149	4.378112231
150	4.364708926
151	4.359008441
152	4.347266103
153	4.339261184
154	4.332166426
155	4.32354582
156	4.313338375
157	4.304125271
158	4.294385446
159	4.284603866
160	4.275718576
161	4.264211352
162	4.252617351
163	4.24690702
164	4.242682576
165	4.229236902
166	4.221866296
167	4.21048818
168	4.204425869
169	4.197457662
170	4.19316243
171	4.186745505
172	4.18274652
173	4.176987846
174	4.168413666
175	4.156926228
176	4.146504008
177	4.143024141
178	4.130381178
179	4.114452679
180	4.103528932
181	4.092597788
182	4.083475089
183	4.071840571
184	4.066243438
185	4.056615169
186	4.04940399
187	4.039103217
188	4.031790537
189	4.024161119
190	4.021843776
191	4.015777209
192	4.008388707
193	4.004692201
194	3.998447816
195	3.992657762
196	3.982052709
197	3.974373305
198	3.965507195
199	3.957144242
200	3.945024834
201	3.939884026
202	3.933567632
203	3.926950432
204	3.919835079
205	3.910287383
206	3.898052169
207	3.8960342
208	3.886622053
209	3.883534552
210	3.875358999
211	3.870776702
212	3.856568937
213	3.849719421
214	3.839677349
215	3.837250854
216	3.82591598
217	3.824096694
218	3.818525986
219	3.811476231
220	3.804462297
221	3.791069269
222	3.783679987
223	3.775673332
224	3.767941532
225	3.759938994
226	3.749134444
227	3.742274769
228	3.740842064
229	3.736028997
230	3.725468117
231	3.712677799
232	3.703946041
233	3.692866643
234	3.687162119
235	3.679814112
236	3.675227476
237	3.668012311
238	3.661550669
239	3.652374369
240	3.642451928
241	3.636133592
242	3.628967043
243	3.618644735
244	3.614919405
245	3.60085127
246	3.59532248
247	3.586203293
248	3.575168806
249	3.564378165
250	3.559916835
251	3.553049031
252	3.54517555
253	3.538369218
254	3.52771151
255	3.522376119
256	3.517666019
257	3.514787087
258	3.51332841
259	3.502917196
260	3.499089426
261	3.493216914
262	3.487026055
263	3.484202486
264	3.477945935
265	3.469405131
266	3.463871382
267	3.455443833
268	3.450623283
269	3.441546497
270	3.436146637
271	3.429712618
272	3.422098532
273	3.413851223
274	3.408471263
275	3.405833834
276	3.399281452
277	3.387172315
278	3.377822147
279	3.370860904
280	3.365390604
281	3.356515642
282	3.349125521
283	3.347920314
284	3.342928141
285	3.335360725
286	3.327264371
287	3.321835215
288	3.31416117
289	3.307277209
290	3.300076409
291	3.292597886
292	3.288570458
293	3.284526424
294	3.277411419
295	3.269664604
296	3.262276944
297	3.257265148
298	3.253753038
299	3.25274792
300	3.252052887
301	3.246066188
302	3.235521851
303	3.234563812
304	3.22555971
305	3.221159885
306	3.215176154
307	3.21048109
308	3.209384961
309	3.20636095
310	3.205474054
311	3.200179971
312	3.199216226
313	3.192694725
314	3.191758261
315	3.184658247
316	3.184062045
317	3.183165821
318	3.18209213
319	3.172140679
320	3.166787257
321	3.158668996
322	3.151060907
323	3.150199973
324	3.1493531
325	3.143067257
326	3.132772048
327	3.131959179
328	3.124188342
329	3.12339166
330	3.119181354
331	3.109437546
332	3.108670339
333	3.104020298
334	3.103265529
335	3.102531227
336	3.094983966
337	3.089855992
338	3.089146648
339	3.084321437
340	3.08092191
341	3.07782744
342	3.077154271
343	3.071631469
344	3.066476012
345	3.059032555
346	3.058364731
347	3.057735685
348	3.057288781
349	3.056869572
350	3.05645769
351	3.055870012
352	3.047339201
353	3.043407446
354	3.035255312
355	3.028103537
356	3.020510521
357	3.015494405
358	3.010160626
359	3.003194452
360	2.995837931
361	2.987861666
362	2.978104741
363	2.970820404
364	2.965043158
365	2.960378625
366	2.954285263
367	2.952668996
368	2.945698177
369	2.945132204
370	2.938232419
371	2.932818621
372	2.927731523
373	2.925429594
374	2.91826953
375	2.917665272
376	2.913933197
377	2.907074415
378	2.902462139
379	2.898043785
