iter	Passed	Remaining
0	15	15952
1	16	8216
2	21	7271
3	30	7705
4	34	6865
5	35	5856
6	44	6305
7	45	5596
8	50	5562
9	60	6026
10	61	5544
11	67	5577
12	74	5694
13	81	5745
14	83	5482
15	88	5457
16	96	5557
17	99	5401
18	103	5345
19	107	5265
20	115	5404
21	125	5589
22	131	5572
23	132	5390
24	140	5484
25	146	5474
26	153	5529
27	159	5526
28	165	5550
29	167	5404
30	173	5430
31	184	5566
32	190	5575
33	194	5515
34	201	5556
35	205	5507
36	213	5545
37	213	5407
38	218	5372
39	221	5312
40	226	5305
41	231	5289
42	235	5231
43	237	5165
44	243	5166
45	248	5163
46	252	5129
47	257	5113
48	262	5093
49	266	5058
50	269	5023
51	275	5015
52	278	4984
53	282	4947
54	285	4908
55	289	4881
56	293	4858
57	297	4839
58	302	4822
59	307	4818
60	311	4793
61	312	4730
62	316	4703
63	321	4696
64	327	4714
65	331	4691
66	335	4673
67	340	4668
68	344	4653
69	348	4632
70	353	4626
71	357	4606
72	360	4577
73	364	4558
74	374	4616
75	379	4618
76	383	4602
77	389	4600
78	395	4607
79	400	4606
80	406	4611
81	409	4585
82	413	4565
83	417	4553
84	422	4550
85	426	4530
86	429	4507
87	434	4500
88	437	4476
89	440	4457
90	443	4434
91	447	4415
92	451	4405
93	454	4382
94	457	4358
95	460	4333
96	464	4323
97	467	4304
98	470	4283
99	473	4265
100	476	4244
101	479	4223
102	482	4205
103	485	4185
104	488	4163
105	491	4145
106	494	4128
107	498	4119
108	501	4101
109	504	4084
110	507	4066
111	510	4051
112	514	4038
113	518	4030
114	521	4016
115	524	3999
116	528	3988
117	531	3974
118	534	3957
119	537	3941
120	540	3924
121	544	3916
122	547	3906
123	550	3890
124	554	3882
125	558	3876
126	562	3868
127	566	3858
128	569	3847
129	573	3836
130	576	3822
131	579	3807
132	582	3798
133	585	3784
134	588	3771
135	593	3769
136	597	3764
137	600	3752
138	603	3740
139	607	3731
140	611	3726
141	614	3714
142	617	3700
143	620	3687
144	624	3682
145	628	3676
146	631	3665
147	634	3654
148	638	3647
149	642	3641
150	645	3631
151	648	3620
152	651	3606
153	654	3597
154	659	3593
155	660	3575
156	663	3565
157	667	3555
158	670	3548
159	674	3540
160	679	3539
161	682	3530
162	685	3521
163	689	3516
164	692	3506
165	696	3498
166	699	3490
167	703	3484
168	707	3478
169	710	3469
170	713	3460
171	717	3453
172	720	3445
173	724	3437
174	728	3432
175	731	3422
176	734	3415
177	738	3411
178	741	3402
179	745	3394
180	747	3384
181	751	3378
182	755	3370
183	758	3362
184	761	3354
185	764	3345
186	767	3338
187	770	3328
188	774	3321
189	776	3311
190	779	3303
191	783	3296
192	787	3294
193	790	3285
194	793	3276
195	796	3269
196	800	3263
197	804	3258
198	807	3249
199	810	3242
200	813	3233
201	817	3229
202	821	3223
203	823	3214
204	827	3207
205	830	3200
206	833	3192
207	837	3187
208	840	3181
209	843	3174
210	847	3170
211	852	3166
212	855	3159
213	858	3152
214	861	3144
215	864	3138
216	867	3130
217	870	3123
218	873	3116
219	876	3109
220	880	3103
221	884	3099
222	887	3091
223	890	3083
224	893	3076
225	897	3072
226	900	3067
227	903	3059
228	906	3052
229	909	3045
230	913	3040
231	916	3034
232	919	3027
233	922	3020
234	925	3012
235	929	3007
236	932	3003
237	937	3000
238	940	2993
239	944	2989
240	948	2986
241	951	2980
242	954	2974
243	958	2968
244	961	2962
245	964	2955
246	967	2947
247	970	2942
248	973	2934
249	977	2933
250	981	2929
251	984	2923
252	988	2917
253	991	2910
254	994	2906
255	997	2899
256	1000	2893
257	1004	2887
258	1007	2883
259	1011	2879
260	1015	2874
261	1018	2868
262	1021	2861
263	1024	2856
264	1028	2851
265	1031	2847
266	1034	2841
267	1037	2834
268	1042	2832
269	1045	2826
270	1048	2819
271	1051	2813
272	1054	2807
273	1057	2802
274	1060	2796
275	1063	2790
276	1067	2785
277	1070	2779
278	1074	2777
279	1078	2772
280	1081	2766
281	1083	2759
282	1086	2753
283	1091	2752
284	1094	2746
285	1098	2741
286	1101	2735
287	1104	2730
288	1108	2727
289	1111	2721
290	1115	2717
291	1118	2713
292	1123	2710
293	1126	2704
294	1128	2697
295	1131	2691
296	1134	2686
297	1138	2682
298	1143	2680
299	1146	2675
300	1149	2670
301	1153	2666
302	1158	2664
303	1161	2660
304	1164	2654
305	1168	2650
306	1172	2646
307	1175	2641
308	1179	2637
309	1182	2631
310	1186	2628
311	1189	2623
312	1192	2617
313	1196	2613
314	1199	2608
315	1203	2606
316	1207	2600
317	1210	2596
318	1213	2591
319	1218	2588
320	1221	2584
321	1224	2579
322	1228	2574
323	1231	2568
324	1234	2564
325	1238	2561
326	1242	2557
327	1245	2552
328	1249	2548
329	1252	2542
330	1255	2537
331	1259	2533
332	1261	2527
333	1265	2523
