iter	RMSE
0	1874.283098
1	1825.180215
2	1780.665357
3	1737.871169
4	1695.450886
5	1655.434
6	1617.704977
7	1581.301959
8	1545.864759
9	1511.231353
10	1475.991502
11	1444.353556
12	1413.843531
13	1382.528696
14	1352.802583
15	1323.225848
16	1293.936485
17	1266.671065
18	1244.004047
19	1219.053609
20	1194.741078
21	1172.228635
22	1150.390762
23	1128.548843
24	1109.824178
25	1089.730476
26	1069.649464
27	1051.637403
28	1034.587519
29	1017.724724
30	1001.929836
31	986.2149199
32	972.3397781
33	958.5162806
34	945.5449262
35	934.1375809
36	921.2709729
37	909.0855257
38	898.174749
39	886.3259082
40	875.8029474
41	865.5200394
42	854.8169241
43	845.4667623
44	835.9086592
45	828.0721257
46	820.492414
47	812.5034462
48	805.3277251
49	797.2240028
50	789.76287
51	782.4658737
52	776.3478565
53	768.7973489
54	762.0989386
55	754.8262579
56	749.058753
57	742.7233043
58	736.424292
59	731.6376574
60	725.7893377
61	721.2208875
62	715.5496296
63	711.1857662
64	705.0458033
65	700.3236998
66	694.2102099
67	689.9403983
68	685.2679483
69	680.122042
70	675.9519032
71	671.7715094
72	669.4427749
73	664.7673134
74	660.9574521
75	658.1639392
76	654.067678
77	650.16032
78	647.2915285
79	644.1273678
80	640.5130233
81	636.8536048
82	634.4301796
83	631.2475873
84	627.6431234
85	624.9593352
86	622.0605361
87	618.5551837
88	615.7291461
89	612.9655099
90	610.4393497
91	606.5364121
92	604.0334519
93	601.0846703
94	597.6729068
95	595.6640622
96	593.3905545
97	590.3216838
98	587.4285097
99	585.4088879
100	583.3621696
101	581.6215694
102	579.1506253
103	576.4821275
104	574.0468378
105	572.541739
106	570.3341246
107	568.0691344
108	565.9440909
109	563.7562089
110	561.9648034
111	559.8430979
112	558.1607756
113	556.1192004
114	554.2125748
115	552.9654254
116	550.984416
117	549.8364485
118	548.4246824
119	546.9155224
120	545.3225328
121	543.7019358
122	542.3041892
123	540.5579145
124	539.0421547
125	537.9142843
126	536.3176269
127	534.9459729
128	533.1459973
129	531.3264312
130	529.8190897
131	528.7094105
132	527.5142174
133	525.9254484
134	524.022132
135	522.0781501
136	521.2390373
137	518.9533474
138	517.6060796
139	516.0582482
140	514.9713313
141	513.7071553
142	512.6580515
143	511.1035185
144	510.1705204
145	508.5783606
146	507.0149743
147	505.6801683
148	504.3971847
149	503.2339893
150	502.0099985
151	500.6882519
152	499.3466832
153	498.2568506
154	496.9909352
155	495.9177357
156	494.1920829
157	493.0065362
158	491.6126625
159	490.3112457
160	489.4219053
161	488.0427094
162	487.1908623
163	486.4662383
164	485.3556532
165	484.5399478
166	483.6302971
167	482.4679008
168	481.5084578
169	480.6816471
170	479.7315245
171	478.1183046
172	476.9822664
173	475.5782442
174	474.3724574
175	473.1652107
176	472.2214913
177	470.913951
178	469.5959543
179	468.6402042
180	467.8288736
181	466.82647
182	466.1684251
183	465.5334355
184	464.3845329
185	463.6792251
186	463.0508837
187	462.2729103
188	461.3222541
189	460.7274115
190	459.9405467
191	459.4413729
192	458.4826232
193	456.9863308
194	456.0473777
195	454.9478542
196	453.9992773
197	453.2562994
198	452.3900915
199	451.4486243
200	450.9200233
201	449.3549702
202	448.9646958
203	448.4695039
204	447.7998192
205	447.084465
206	446.561629
207	445.9838287
208	444.9880996
209	444.3702162
210	443.6904172
211	443.3431877
212	442.6174811
