scope,k,covariance,bic,converged
behavior,1,full,1161.6227991746446,True
behavior,1,tied,1161.6227991746446,True
behavior,1,diag,1156.34409604993,True
behavior,1,spherical,1151.045778683382,True
behavior,2,full,1148.4726929948013,True
behavior,2,tied,1167.0982269287988,True
behavior,2,diag,1151.2850252102905,True
behavior,2,spherical,1152.2619893191445,True
behavior,3,full,1151.7185708381803,True
behavior,3,tied,1163.9253314166835,True
behavior,3,diag,1142.3845586725488,True
behavior,3,spherical,1148.7742529686439,True
behavior,4,full,1079.4942807532134,True
behavior,4,tied,1114.3356237568923,True
behavior,4,diag,1133.0575916566274,True
behavior,4,spherical,1127.417019483131,True
behavior,5,full,1058.6523808233758,True
behavior,5,tied,1058.9240963769698,True
behavior,5,diag,1041.6691937618366,True
behavior,5,spherical,1047.0296157420944,True
behavior,6,full,1071.5672302937328,True
behavior,6,tied,1054.3338268691577,True
behavior,6,diag,1049.1918806200874,True
behavior,6,spherical,1045.6200763383365,True
behavior,7,full,1085.595834836429,True
behavior,7,tied,1037.9159757582013,True
behavior,7,diag,1056.8376669635632,True
behavior,7,spherical,1048.7735913779925,True
behavior,8,full,1082.4845110758458,True
behavior,8,tied,1038.1640758390415,True
behavior,8,diag,1063.2251520872808,True
behavior,8,spherical,1050.822538791673,True
behavior,9,full,1106.809536997808,True
behavior,9,tied,1053.0088524050307,True
behavior,9,diag,1074.8993737803082,True
behavior,9,spherical,1057.162548109642,True
behavior,10,full,1113.7710730905192,True
behavior,10,tied,1056.9329274510274,True
behavior,10,diag,1083.531803173715,True
behavior,10,spherical,1057.8357978633928,True
behavior_age,1,full,1727.7216185667653,True
behavior_age,1,tied,1727.7216185667653,True
behavior_age,1,diag,1734.516144074895,True
behavior_age,1,spherical,1723.9195093417989,True
behavior_age,2,full,1656.9625276639922,True
behavior_age,2,tied,1698.5762253219793,True
behavior_age,2,diag,1672.0554723688583,True
behavior_age,2,spherical,1720.3037756401327,True
behavior_age,3,full,1581.9761380035427,True
behavior_age,3,tied,1678.2527919071886,True
behavior_age,3,diag,1562.2842382535264,True
behavior_age,3,spherical,1657.7541370895326,True
behavior_age,4,full,1581.3733639082855,True
behavior_age,4,tied,1663.4782750752058,True
behavior_age,4,diag,1558.453218940281,True
behavior_age,4,spherical,1652.7695954254682,True
behavior_age,5,full,1576.707840803002,True
behavior_age,5,tied,1632.2176980084241,True
behavior_age,5,diag,1521.7362866182493,True
behavior_age,5,spherical,1626.7979911387797,True
behavior_age,6,full,1599.2293838861153,True
behavior_age,6,tied,1586.1343264487955,True
behavior_age,6,diag,1535.3684131691957,True
behavior_age,6,spherical,1597.3661153532864,True
behavior_age,7,full,1621.6233377272513,True
behavior_age,7,tied,1589.546148741457,True
behavior_age,7,diag,1545.22166229508,True
behavior_age,7,spherical,1562.2328775445621,True
behavior_age,8,full,1652.0796014452185,True
behavior_age,8,tied,1581.3319362708185,True
behavior_age,8,diag,1561.15269195673,True
behavior_age,8,spherical,1578.8003052238585,True
behavior_age,9,full,1680.7850885254998,True
behavior_age,9,tied,1602.3480902268686,True
behavior_age,9,diag,1594.5463166678046,True
behavior_age,9,spherical,1568.3219467144384,True
behavior_age,10,full,1687.8421400349496,True
behavior_age,10,tied,1588.9638622926916,True
behavior_age,10,diag,1600.2380456287292,True
behavior_age,10,spherical,1571.6458274678675,True
all_features,1,full,-5833.568533261073,True
all_features,1,tied,-5833.568533260766,True
all_features,1,diag,-1678.6400735653463,True
all_features,1,spherical,4054.891151887868,True
all_features,2,full,-9185.497171312774,True
all_features,2,tied,-5805.527841831955,True
all_features,2,diag,-5481.382629925893,True
all_features,2,spherical,3150.3250951854347,True
all_features,3,full,-11075.800200339065,True
all_features,3,tied,-7125.85782495265,True
all_features,3,diag,-8189.527692471427,True
all_features,3,spherical,2392.4821844654844,True
all_features,4,full,-8512.534959235683,True
all_features,4,tied,-5706.107447745748,True
all_features,4,diag,-8714.674550316111,True
all_features,4,spherical,1803.4952271087207,True
all_features,5,full,-10828.493822754752,True
all_features,5,tied,-5691.000398680026,True
all_features,5,diag,-10847.487519598022,True
all_features,5,spherical,1432.6375111346488,True
all_features,6,full,-9501.609194803914,True
all_features,6,tied,-7006.224677337468,True
all_features,6,diag,-10883.787791599578,True
all_features,6,spherical,1027.5952401779718,True
all_features,7,full,-9078.6151740745,True
all_features,7,tied,-5625.384559996723,True
all_features,7,diag,-11165.196718069878,True
all_features,7,spherical,907.4806731876449,True
all_features,8,full,-7800.893742578333,True
all_features,8,tied,-6950.642243615678,True
all_features,8,diag,-11923.80767895887,True
all_features,8,spherical,667.0127397768146,True
all_features,9,full,-6319.165969715668,True
all_features,9,tied,-6868.506792847474,True
all_features,9,diag,-10982.939520141928,True
all_features,9,spherical,564.7310826961445,True
all_features,10,full,-5504.722697063583,True
all_features,10,tied,-9518.09528970975,True
all_features,10,diag,-11651.759819421595,True
all_features,10,spherical,545.030814248394,True
