check,repeat,ari
random_seed,0,1.0
income_and_spend_jitter_sd_1,0,0.9848081982755497
random_seed,1,1.0
income_and_spend_jitter_sd_1,1,0.9847169139719528
random_seed,2,1.0
income_and_spend_jitter_sd_1,2,1.0
random_seed,3,1.0
income_and_spend_jitter_sd_1,3,0.9847169139719528
random_seed,4,1.0
income_and_spend_jitter_sd_1,4,0.9848081982755497
random_seed,5,1.0
income_and_spend_jitter_sd_1,5,1.0
random_seed,6,1.0
income_and_spend_jitter_sd_1,6,1.0
random_seed,7,1.0
income_and_spend_jitter_sd_1,7,0.9847169139719528
random_seed,8,1.0
income_and_spend_jitter_sd_1,8,0.9712703134644783
random_seed,9,1.0
income_and_spend_jitter_sd_1,9,0.9847169139719528
random_seed,10,1.0
income_and_spend_jitter_sd_1,10,0.9847169139719528
random_seed,11,1.0
income_and_spend_jitter_sd_1,11,0.9847169139719528
random_seed,12,1.0
income_and_spend_jitter_sd_1,12,0.9301714814159611
random_seed,13,1.0
income_and_spend_jitter_sd_1,13,0.9847169139719528
random_seed,14,1.0
income_and_spend_jitter_sd_1,14,0.9546995894014458
random_seed,15,1.0
income_and_spend_jitter_sd_1,15,0.9578592630426115
random_seed,16,1.0
income_and_spend_jitter_sd_1,16,1.0
random_seed,17,1.0
income_and_spend_jitter_sd_1,17,0.9847169139719528
random_seed,18,1.0
income_and_spend_jitter_sd_1,18,0.9847169139719528
random_seed,19,1.0
income_and_spend_jitter_sd_1,19,0.9847169139719528
random_seed,20,1.0
income_and_spend_jitter_sd_1,20,0.9712703134644783
random_seed,21,1.0
income_and_spend_jitter_sd_1,21,0.9865368951949889
random_seed,22,1.0
income_and_spend_jitter_sd_1,22,0.9847169139719528
random_seed,23,1.0
income_and_spend_jitter_sd_1,23,1.0
random_seed,24,1.0
income_and_spend_jitter_sd_1,24,0.9431257154980398
random_seed,25,1.0
income_and_spend_jitter_sd_1,25,0.9711871119034551
random_seed,26,1.0
income_and_spend_jitter_sd_1,26,0.9847169139719528
random_seed,27,1.0
income_and_spend_jitter_sd_1,27,0.9712703134644783
random_seed,28,1.0
income_and_spend_jitter_sd_1,28,0.9563170271852462
random_seed,29,1.0
income_and_spend_jitter_sd_1,29,0.9712703134644783
leave_one_out,0,1.0
leave_one_out,1,1.0
leave_one_out,2,1.0
leave_one_out,3,1.0
leave_one_out,4,1.0
leave_one_out,5,1.0
leave_one_out,6,1.0
leave_one_out,7,1.0
