id,scope,representation,family,params,status,warning,bic,aic,k,coverage,min_size,max_size,silhouette,ref_silhouette,db,ch,penalized,eligible,ari_median,ari_p10,ari_p90,assigned_ari,subsample_coverage,same_k_rate,valid_repeats,final_score
954,all_features,all_features/standard/cat=0.25,KMeans,"{""n_clusters"": 5}",ok,,,,5,1.0,20,54,0.39554535084502646,0.3503215059930524,1.0312666004577562,98.14281350066585,0.3503215059930524,True,0.9842330481333376,0.6311039832188706,1.0,0.9842330481333376,1.0,1.0,20,0.347956463213053
1107,all_features,all_features/standard/cat=0.5,KMeans,"{""n_clusters"": 5}",ok,,,,5,1.0,20,54,0.3503215059930524,0.3503215059930524,1.0312666004577562,98.14281350066584,0.3503215059930524,True,0.9838844934095743,0.6311039832188706,1.0,0.9838844934095743,1.0,1.0,20,0.34790418000448853
1123,all_features,all_features/standard/cat=0.5,GMM,"{""covariance_type"": ""spherical"", ""n_components"": 6}",ok,,1027.5952401779718,674.6752819573321,6,1.0,22,45,0.34859733257105474,0.34859733257105474,0.9937423325059284,99.54299892907099,0.34859733257105474,True,0.9894114995259762,0.9689560486892626,1.0,0.9894114995259762,1.0,1.0,20,0.34700905749995115
970,all_features,all_features/standard/cat=0.25,GMM,"{""covariance_type"": ""spherical"", ""n_components"": 6}",ok,,281.7829540092562,-71.13700421138367,6,1.0,22,45,0.4017147954102518,0.34859733257105474,0.9937423325059284,99.54299892907098,0.34859733257105474,True,0.982212494295217,0.9341372864032081,0.9904002444691137,0.982212494295217,1.0,1.0,20,0.3459292067153373
1257,all_features,all_features/standard/cat=1.0,Spectral,"{""affinity"": ""nearest_neighbors"", ""n_clusters"": 4, ""n_neighbors"": 20}",ok,,,,4,1.0,39,67,0.2543818746316775,0.3427949584152111,1.0771487086199802,101.00833345734605,0.3427949584152111,True,0.9386160360476276,0.8964787529067023,0.9505876855464155,0.9386160360476276,1.0,1.0,20,0.33358736382235527
1271,all_features,all_features/standard/cat=1.0,Birch,"{""n_clusters"": 5, ""threshold"": 0.5}",ok,,,,5,1.0,20,53,0.25175678253370665,0.34687817934520493,1.0592279733587322,93.95721460743428,0.34687817934520493,True,0.9092401114503115,0.6780757671444742,0.9682554442084084,0.9092401114503115,1.0,1.0,20,0.33326419606275165
1116,all_features,all_features/standard/cat=0.5,Spectral,"{""affinity"": ""nearest_neighbors"", ""n_clusters"": 5, ""n_neighbors"": 20}",ok,,,,5,1.0,23,59,0.34234753930949374,0.34234753930949374,1.0407799157497781,97.13520138238565,0.34234753930949374,True,0.9144423237154686,0.6946346990790659,0.9624081633827974,0.9144423237154686,1.0,1.0,20,0.329513887866814
964,all_features,all_features/standard/cat=0.25,Birch,"{""n_clusters"": 5, ""threshold"": 0.2}",ok,,,,5,1.0,19,54,0.38889146038125477,0.34499363179589165,1.0716510029401891,92.40511015492301,0.34499363179589165,True,0.8593958002896631,0.6142592497153254,0.9497785998042851,0.8593958002896631,1.0,1.0,20,0.3239030018393411
959,all_features,all_features/standard/cat=0.25,Agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 5}",ok,,,,5,1.0,23,53,0.38782109990085106,0.34352103495995523,1.0782070121679777,93.57214886535228,0.34352103495995523,True,0.860019903027573,0.6206696344227448,0.9880129195412028,0.860019903027573,1.0,1.0,20,0.3225240204140912
961,all_features,all_features/standard/cat=0.25,Agglomerative,"{""linkage"": ""average"", ""n_clusters"": 5}",ok,,,,5,1.0,20,54,0.3889064873244529,0.3447997780984127,1.0728998996241847,92.5557941303292,0.3447997780984127,True,0.8277093394825893,0.641825381954455,0.9587694329380592,0.8277093394825893,1.0,1.0,20,0.3189561790208011
